ComboInd1,Campaign_Name,Set_Sample_Number,Sample_Type,Growth_Method,Plant,Inoculated,Spiked,Inoc_Day,Harvest_Day,Inoc_Assay_Length,G1,G2,G3,G4
926R_inline19_IT092,G9 R1 _R,160,Root,EcoFAB,Brachypodium,Yes,No,3,24,21,Root_EcoFAB_Brachypodium_Yes_3,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_3_21,Root_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline18_IT054,G9 R1 _U,45,unattached sand,EcoFAB,Brachypodium,Yes,No,3,24,21,unattached sand_EcoFAB_Brachypodium_Yes_3,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_3_21,unattached sand_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline19_IT002,G9 R2 _A,105,Attached sand,EcoFAB,Brachypodium,Yes,No,3,24,21,Attached sand_EcoFAB_Brachypodium_Yes_3,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_3_21,Attached sand_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline19_IT009,G9 R2 _R,161,Root,EcoFAB,Brachypodium,Yes,No,3,24,21,Root_EcoFAB_Brachypodium_Yes_3,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_3_21,Root_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline18_IT066,G9 R2 _U,46,unattached sand,EcoFAB,Brachypodium,Yes,No,3,24,21,unattached sand_EcoFAB_Brachypodium_Yes_3,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_3_21,unattached sand_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline19_IT014,G9 R3 _A,106,Attached sand,EcoFAB,Brachypodium,Yes,No,3,24,21,Attached sand_EcoFAB_Brachypodium_Yes_3,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_3_21,Attached sand_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline19_IT021,G9 R3 _R,162,Root,EcoFAB,Brachypodium,Yes,No,3,24,21,Root_EcoFAB_Brachypodium_Yes_3,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_3_21,Root_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline18_IT078,G9 R3 _U,47,unattached sand,EcoFAB,Brachypodium,Yes,No,3,24,21,unattached sand_EcoFAB_Brachypodium_Yes_3,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_3_21,unattached sand_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline19_IT026,G9 R4 _A,107,Attached sand,EcoFAB,Brachypodium,Yes,No,3,24,21,Attached sand_EcoFAB_Brachypodium_Yes_3,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_3_21,Attached sand_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline18_IT090,G9 R4 _U,48,unattached sand,EcoFAB,Brachypodium,Yes,No,3,24,21,unattached sand_EcoFAB_Brachypodium_Yes_3,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_3_21,unattached sand_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline19_IT038,G9 R5  _A,108,Attached sand,EcoFAB,Brachypodium,Yes,No,3,24,21,Attached sand_EcoFAB_Brachypodium_Yes_3,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_3_21,Attached sand_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline19_IT045,G9 R5  _R,164,Root,EcoFAB,Brachypodium,Yes,No,3,24,21,Root_EcoFAB_Brachypodium_Yes_3,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_3_21,Root_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline18_IT007,G9 R5  _U,49,unattached sand,EcoFAB,Brachypodium,Yes,No,3,24,21,unattached sand_EcoFAB_Brachypodium_Yes_3,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_3_21,unattached sand_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline19_IT050,G9 R6 _A,109,Attached sand,EcoFAB,Brachypodium,Yes,No,3,24,21,Attached sand_EcoFAB_Brachypodium_Yes_3,Attached sand_EcoFAB_Brachypodium_Yes_21,Attached sand_EcoFAB_Brachypodium_Yes_3_21,Attached sand_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline19_IT057,G9 R6 _R,165,Root,EcoFAB,Brachypodium,Yes,No,3,24,21,Root_EcoFAB_Brachypodium_Yes_3,Root_EcoFAB_Brachypodium_Yes_21,Root_EcoFAB_Brachypodium_Yes_3_21,Root_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline18_IT019,G9 R6 _U,50,unattached sand,EcoFAB,Brachypodium,Yes,No,3,24,21,unattached sand_EcoFAB_Brachypodium_Yes_3,unattached sand_EcoFAB_Brachypodium_Yes_21,unattached sand_EcoFAB_Brachypodium_Yes_3_21,unattached sand_EcoFAB_Brachypodium_Yes_3_24_21
926R_inline18_IT037,SynCom_1 _liq,4,SynCom mix,liquid,None,Yes,No,0,0,0,SynCom mix_liquid_None_Yes_0,SynCom mix_liquid_None_Yes_0,SynCom mix_liquid_None_Yes_0_0,SynCom mix_liquid_None_Yes_0_0_0
926R_inline18_IT049,SynCom_2 _liq,5,SynCom mix,liquid,None,Yes,No,0,0,0,SynCom mix_liquid_None_Yes_0,SynCom mix_liquid_None_Yes_0,SynCom mix_liquid_None_Yes_0_0,SynCom mix_liquid_None_Yes_0_0_0
